State,State Code,Insurance Company
Alabama,AL,Access Health Services - TPA
Alabama,AL,Aetna
Alabama,AL,Aetna Atlantic Health
Alabama,AL,Aetna National
Alabama,AL,Affinity
Alabama,AL,Alabama Medicaid
Alabama,AL,All Savers Health Plans
Alabama,AL,Allegiance
Alabama,AL,Alliant Health
Alabama,AL,Allied Health Benefits
Alabama,AL,AllWays Health Partners
Alabama,AL,Alternative Insurance Resources
Alabama,AL,Ambetter 
Alabama,AL,AmBetter Commercial
Alabama,AL,AmeriBen
Alabama,AL,America's Choice Provider Network
Alabama,AL,American Healthcare Alliance
Alabama,AL,American PPO
Alabama,AL,AmeriGroup
Alabama,AL,AmeriHealth
Alabama,AL,Ametros
Alabama,AL,Ancillary Care Services
Alabama,AL,Anthem BCBCS
Alabama,AL,Anthem BCBS
Alabama,AL,Anthem Blue Cross Blue Shield
Alabama,AL,Anthem Medicaid
Alabama,AL,Arcbest Corporation
Alabama,AL,ASURIS
Alabama,AL,Atrio Health Plans
Alabama,AL,Badger Care
Alabama,AL,BCE Emergis
Alabama,AL,Beacon Health
Alabama,AL,Beech Street
Alabama,AL,Benefit Assistance Corp
Alabama,AL,Blue Benefit Administrators
Alabama,AL,Blue Cross Blue Shield
Alabama,AL,BlueCross and BlueShield of Alabama
Alabama,AL,Bluegrass Family Health
Alabama,AL,BMI Benefits LLC
Alabama,AL,Boulder Admin
Alabama,AL,Bright Health
Alabama,AL,Buckeye Community Health Plan
Alabama,AL,CareFirst BCBS
Alabama,AL,Careington International
Alabama,AL,Caresource
Alabama,AL,CAREVALENT GILSBAR
Alabama,AL,Cedar Valley Community Healthcare
Alabama,AL,Cedar Valley Hospice - Transportation
Alabama,AL,Century Health Solutions
Alabama,AL,Cerner Health Plan
Alabama,AL,CHAMP VA
Alabama,AL,CHN Solutions
Alabama,AL,Choice Care Network
Alabama,AL,Cigna
Alabama,AL,Cigna Medicare of  Alabama
Alabama,AL,ClearPrice Networks
Alabama,AL,Clover Health
Alabama,AL,CMN Inc. Global
Alabama,AL,Coastal Care Services
Alabama,AL,Cofinity Health Benefits
Alabama,AL,Common Ground Health Care
Alabama,AL,Commonwealth Care Alliance
Alabama,AL,Community Care
Alabama,AL,Community Health Options
Alabama,AL,Compass Rose Health Plan
Alabama,AL,CompDME
Alabama,AL,Connecticare
Alabama,AL,CONSOCIATE CARE
Alabama,AL,Continental Benefits
Alabama,AL,Cook County Health Plan
Alabama,AL,CoreSource
Alabama,AL,Coventry Health Care
Alabama,AL,CuraeChoice
